Car_ID,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Days_Since_Last_Service,Days_To_Warranty_Expiry,Is_Warranty_Expired,Need_Maintenance,Next_Service_Days
1,50678,Average,2,5,Diesel,Automatic,1,1,14.06270405471956,0,2,1,567,-161,1,0,0.0
2,51285,Poor,3,3,Petrol,Automatic,6,2,19.49390650531477,0,0,0,402,316,0,1,537.37
3,79320,Good,0,3,Diesel,Automatic,10,3,17.048702102072866,0,1,2,481,412,0,1,586.61
4,77206,Good,5,1,Petrol,Automatic,10,3,17.316414990100146,0,0,1,632,-234,1,1,731.2
5,72942,Average,3,10,Electric,Manual,10,1,14.77318912173431,1,0,1,477,-130,1,1,566.03
6,45840,Good,5,6,Petrol,Manual,8,1,16.55997852590213,2,1,0,355,418,0,1,421.48
7,53772,Good,2,10,Petrol,Automatic,7,2,11.915311734017958,2,0,1,386,135,0,1,518.94
8,34285,Average,3,5,Diesel,Manual,4,2,15.236350253920287,0,0,0,453,136,0,1,563.66
9,33243,Good,4,5,Electric,Manual,4,3,12.429587178841173,1,1,2,391,401,0,1,499.95
10,71832,Good,4,3,Petrol,Automatic,8,1,14.646571310736729,2,2,2,381,163,0,1,450.58
11,58078,Good,5,1,Petrol,Automatic,6,3,10.909450861808882,0,0,0,410,61,0,1,504.89
12,54558,Good,1,3,Electric,Manual,8,2,13.981338652429224,0,1,2,404,15,0,1,518.33
13,51867,Average,5,4,Petrol,Manual,9,0,14.525376606243478,0,2,0,512,-38,1,1,583.02
14,57982,Poor,3,7,Electric,Automatic,3,1,10.469173363455733,0,1,0,637,-246,1,1,691.32
15,70614,Average,5,10,Electric,Manual,2,2,12.722586604812332,0,1,0,441,-45,1,1,579.57
16,47812,Average,4,2,Petrol,Automatic,6,2,19.1035192188016,1,2,1,641,65,0,1,713.33
17,53748,Good,3,2,Electric,Manual,10,2,18.88268239521796,1,0,1,360,-10,1,1,444.77
18,31674,Poor,3,2,Diesel,Manual,3,1,19.21373991173453,2,1,2,540,123,0,1,598.52
19,55622,Poor,4,6,Petrol,Automatic,6,2,19.82845455053757,0,2,2,365,440,0,1,468.68
20,43017,Average,4,7,Electric,Manual,8,2,14.985301044841991,1,0,2,391,45,0,1,469.48
21,75531,Average,0,1,Diesel,Automatic,4,0,11.298416558059172,0,2,0,426,-187,1,1,502.77
22,42195,Average,5,9,Electric,Automatic,8,1,11.501225182040724,0,2,1,443,-229,1,1,496.63
23,49132,Poor,3,10,Electric,Automatic,3,3,12.997538891340357,0,0,2,528,294,0,1,627.31
24,75919,Poor,1,3,Electric,Automatic,3,0,15.062623554991273,2,0,2,433,-213,1,1,519.87
25,47978,Poor,2,8,Petrol,Manual,4,0,17.89842871068874,1,1,0,382,366,0,1,471.31
26,49653,Average,0,8,Diesel,Automatic,4,2,16.067771817918754,2,0,0,420,-100,1,1,573.1
27,44050,Good,2,6,Petrol,Manual,9,3,16.219395801044122,0,0,1,616,-170,1,1,730.62
28,40320,Good,0,7,Electric,Manual,5,0,17.582971831374632,1,0,1,513,67,0,1,651.7
29,61984,Good,1,1,Electric,Manual,4,3,15.777522077672144,2,1,0,494,168,0,1,569.45
30,68006,Good,0,1,Petrol,Automatic,1,2,11.2435598377308,2,1,2,471,291,0,0,0.0
31,32270,Poor,2,7,Diesel,Manual,5,1,17.331866998205797,1,2,1,636,264,0,1,678.18
32,56955,Average,1,6,Petrol,Automatic,7,0,12.988074602217097,2,2,2,589,-175,1,0,0.0
33,73261,Good,3,2,Petrol,Automatic,2,3,10.983799442245637,1,0,1,551,436,0,1,664.75
34,64583,Good,1,7,Petrol,Automatic,7,3,12.35741853044664,2,2,2,454,201,0,0,0.0
35,34601,Good,2,3,Petrol,Automatic,8,1,11.69631372048719,0,0,2,612,-111,1,1,710.11
36,59680,Average,1,6,Electric,Manual,2,3,17.176523555902957,1,2,1,548,267,0,0,0.0
37,53194,Poor,2,6,Electric,Automatic,3,3,19.46798896494831,2,0,2,489,-91,1,1,638.07
38,65561,Good,2,8,Electric,Manual,8,2,10.299101803024428,2,1,2,395,-113,1,1,498.41
39,35145,Good,4,7,Petrol,Manual,7,0,17.501103472899352,0,1,2,551,153,0,1,599.15
40,55326,Poor,0,4,Electric,Automatic,9,2,13.134177752064373,1,1,2,420,136,0,1,503.66
41,38096,Poor,3,8,Petrol,Automatic,9,0,15.93680995613424,1,1,0,445,431,0,1,514.38
42,47831,Poor,5,4,Petrol,Manual,5,2,16.37824234752489,2,0,2,450,-180,1,1,580.46
43,46454,Good,3,3,Petrol,Automatic,5,0,18.98769740702746,1,0,2,556,-105,1,1,654.52
44,51731,Average,4,8,Petrol,Manual,10,1,16.729700078572304,1,1,2,572,256,0,1,643.96
45,64009,Good,0,3,Diesel,Manual,4,3,15.331436215516328,1,1,2,357,325,0,0,0.0
46,68121,Average,4,1,Petrol,Automatic,6,2,16.258522602714013,0,2,1,614,-208,1,1,723.3
47,39935,Good,1,3,Electric,Automatic,10,1,12.374039919097536,1,1,1,337,327,0,0,0.0
48,67436,Poor,4,5,Electric,Automatic,4,1,18.818076674280668,0,2,2,622,16,0,1,699.41
49,34964,Average,4,7,Petrol,Manual,4,2,16.573309057074457,0,1,1,504,-89,1,1,561.64
50,43376,Average,4,8,Electric,Automatic,7,3,16.558593039565665,2,1,0,370,280,0,1,427.41
51,43950,Average,2,10,Electric,Manual,2,2,14.26039639880224,0,0,1,337,240,0,1,455.11
